instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr
1,2011-01-01,1,2011,january,0,6,holiday/weekend,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,11.5
2,2011-01-02,1,2011,january,0,0,holiday/weekend,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,11.782608695652174
3,2011-01-03,1,2011,january,0,1,working,1,8.050924,9.47025,43.7273,16.636703,120,1229,1349,12.318181818181818
4,2011-01-04,1,2011,january,0,2,working,1,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,11.869565217391305
5,2011-01-05,1,2011,january,0,3,working,1,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,11.869565217391305
6,2011-01-06,1,2011,january,0,4,working,1,8.378268,11.66045,51.8261,6.0008684,88,1518,1606,11.869565217391305
7,2011-01-07,1,2011,january,0,5,working,2,8.057402,10.44195,49.8696,11.304642,148,1362,1510,11.869565217391305
8,2011-01-08,1,2011,january,0,6,holiday/weekend,2,6.765000000000001,8.1127,53.5833,17.875868,68,891,959,11.5
9,2011-01-09,1,2011,january,0,0,holiday/weekend,1,5.671653,5.80875,43.416700000000006,24.25065,54,768,822,11.5
10,2011-01-10,1,2011,january,0,1,working,1,6.184153,7.5443999999999996,48.2917,14.958889,41,1280,1321,11.5
11,2011-01-11,1,2011,january,0,2,working,2,6.9327309999999995,9.5732,68.6364,8.182844000000001,43,1220,1263,12.227272727272727
12,2011-01-12,1,2011,january,0,3,working,1,7.0818069999999995,8.02365,59.954499999999996,20.410009,25,1137,1162,12.227272727272727
13,2011-01-13,1,2011,january,0,4,working,1,6.765000000000001,7.544149999999999,47.0417,20.166999999999998,38,1368,1406,11.5
14,2011-01-14,1,2011,january,0,5,working,1,6.59567,9.42065,53.7826,8.478716,54,1367,1421,11.826086956521738
15,2011-01-15,1,2011,january,0,6,holiday/weekend,2,9.566653,12.4056,49.875,10.583521,222,1026,1248,11.5
16,2011-01-16,1,2011,january,0,0,holiday/weekend,1,9.498347,11.71085,48.375,12.625010999999999,251,953,1204,11.5
17,2011-01-17,1,2011,january,1,1,holiday/weekend,2,7.209153,8.838550000000001,53.75,12.999139,117,883,1000,11.5
18,2011-01-18,1,2011,january,0,2,working,2,8.883347,11.61665,86.16669999999999,9.833924999999999,9,674,683,17.5
19,2011-01-19,1,2011,january,0,3,working,2,11.979134,14.921100000000001,74.1739,13.957239,78,1572,1650,11.869565217391305
20,2011-01-20,1,2011,january,0,4,working,2,10.728347,12.7525,53.833299999999994,13.125568,83,1844,1927,11.5
21,2011-01-21,1,2011,january,0,5,working,1,7.2775,7.89165,45.7083,23.667214,75,1468,1543,11.5
22,2011-01-22,1,2011,january,0,6,holiday/weekend,1,2.4243464,3.9534800000000003,40.0,11.52199,93,888,981,11.782608695652174
23,2011-01-23,1,2011,january,0,0,holiday/weekend,1,3.9573897000000002,4.941955,43.6522,16.5222,150,836,986,11.826086956521738
24,2011-01-24,1,2011,january,0,1,working,1,3.9930433,5.8965,49.173899999999996,10.60811,86,1330,1416,11.91304347826087
25,2011-01-25,1,2011,january,0,2,working,2,9.162598000000001,11.7263,61.695699999999995,8.696332,186,1799,1985,11.869565217391305
26,2011-01-26,1,2011,january,0,3,working,3,8.9175,10.18,86.25,19.68795,34,472,506,9.125
27,2011-01-27,1,2011,january,0,4,working,1,7.995,10.985,68.75,7.627078999999999,15,416,431,19.5
28,2011-01-28,1,2011,january,0,5,working,2,8.342597999999999,11.165849999999999,79.30430000000001,8.2611,38,1129,1167,11.826086956521738
29,2011-01-29,1,2011,january,0,6,holiday/weekend,1,8.057402,10.606300000000001,65.17389999999999,9.739455,123,975,1098,11.782608695652174
30,2011-01-30,1,2011,january,0,0,holiday/weekend,1,8.877402,12.5161,72.2174,4.956834199999999,140,956,1096,11.73913043478261
31,2011-01-31,1,2011,january,0,1,working,2,7.414153,9.3125,60.375,12.541864,42,1459,1501,11.5
32,2011-02-01,1,2011,february,0,2,working,2,7.8791340000000005,11.7265,82.9565,3.565271,47,1313,1360,11.826086956521738
33,2011-02-02,1,2011,february,0,3,working,2,10.66,12.72085,77.5417,17.708636,72,1454,1526,11.5
34,2011-02-03,1,2011,february,0,4,working,1,7.665237,8.8939,43.7826,18.609384,61,1489,1550,11.826086956521738
35,2011-02-04,1,2011,february,0,5,working,2,8.663464,11.429350000000001,58.521699999999996,8.565213,88,1620,1708,11.826086956521738
36,2011-02-05,1,2011,february,0,6,holiday/weekend,2,9.566653,12.152899999999999,92.91669999999999,10.792293,100,905,1005,11.5
37,2011-02-06,1,2011,february,0,0,holiday/weekend,1,11.719153,14.58355,56.833299999999994,9.5006,354,1269,1623,11.5
38,2011-02-07,1,2011,february,0,1,working,1,11.138347,15.1829,73.83330000000001,3.0423561,120,1592,1712,11.5
39,2011-02-08,1,2011,february,0,2,working,1,9.054153,9.9123,53.7917,24.25065,64,1466,1530,11.5
40,2011-02-09,1,2011,february,0,3,working,2,5.526102999999999,7.21415,49.4783,12.652213,53,1552,1605,11.826086956521738
41,2011-02-10,1,2011,february,0,4,working,1,5.918268,7.477399999999999,43.7391,14.869645,47,1491,1538,11.869565217391305
42,2011-02-11,1,2011,february,0,5,working,1,7.752731000000001,10.67545,50.6364,7.272849999999999,149,1597,1746,12.227272727272727
43,2011-02-12,1,2011,february,0,6,holiday/weekend,1,9.1225,11.6477,54.4167,13.625589,288,1184,1472,11.5
44,2011-02-13,1,2011,february,0,0,holiday/weekend,1,12.977402000000001,16.20565,45.7391,17.479160999999998,397,1192,1589,11.782608695652174
45,2011-02-14,1,2011,february,0,1,working,1,17.015,19.9175,37.583299999999994,27.999836,208,1705,1913,11.5
46,2011-02-15,1,2011,february,0,2,working,1,10.909567000000001,12.7137,31.434800000000003,19.522058,140,1675,1815,11.869565217391305
47,2011-02-16,1,2011,february,0,3,working,1,13.048701000000001,15.809999999999999,42.3478,16.869996999999998,218,1897,2115,11.91304347826087
48,2011-02-17,1,2011,february,0,4,working,1,17.869153,21.4329,50.5,15.416968,259,2216,2475,11.5
49,2011-02-18,1,2011,february,0,5,working,1,21.388347,25.599149999999998,51.6667,17.749975000000003,579,2348,2927,11.5
50,2011-02-19,1,2011,february,0,6,holiday/weekend,1,16.365847,19.5702,18.7917,34.000021,532,1103,1635,11.5
51,2011-02-20,1,2011,february,0,0,holiday/weekend,1,11.693897,13.8665,40.7826,14.956745,639,1173,1812,11.782608695652174
52,2011-02-21,1,2011,february,1,1,holiday/weekend,2,12.436653000000002,14.203750000000001,60.5,20.625682,195,912,1107,11.5
53,2011-02-22,1,2011,february,0,2,working,1,7.471102,9.30165,57.7778,13.110761,74,1376,1450,14.5
54,2011-02-23,1,2011,february,0,3,working,1,9.091299,12.28585,42.3043,6.3055710000000005,139,1778,1917,11.826086956521738
55,2011-02-24,1,2011,february,0,4,working,2,12.121732000000002,14.459549999999998,69.7391,16.783231999999998,100,1707,1807,11.826086956521738
56,2011-02-25,1,2011,february,0,5,working,2,14.938268,17.52305,71.2174,23.218113,120,1341,1461,11.826086956521738
57,2011-02-26,1,2011,february,0,6,holiday/weekend,1,11.5825,14.1096,53.7917,12.500257,424,1545,1969,11.5
58,2011-02-27,1,2011,february,0,0,holiday/weekend,1,14.082598,17.55545,68.0,8.391615999999999,694,1708,2402,11.782608695652174
59,2011-02-28,1,2011,february,0,1,working,2,16.698193,20.005899999999997,87.63640000000001,19.408962,81,1365,1446,12.272727272727273
60,2011-03-01,1,2011,march,0,2,working,1,10.933347,13.19395,53.5,14.500475,137,1714,1851,11.5
61,2011-03-02,1,2011,march,0,3,working,1,13.735000000000001,16.00355,44.9583,20.624811,231,1903,2134,11.5
62,2011-03-03,1,2011,march,0,4,working,1,8.131653,10.00665,31.833299999999998,15.125518000000001,123,1562,1685,11.5
63,2011-03-04,1,2011,march,0,5,working,2,10.728347,12.783949999999999,61.0417,13.624182,214,1730,1944,11.5
64,2011-03-05,1,2011,march,0,6,holiday/weekend,2,15.750846999999998,18.93895,78.91669999999999,16.875357,640,1437,2077,11.5
65,2011-03-06,1,2011,march,0,0,holiday/weekend,2,15.437402,18.3126,94.8261,23.000229,114,491,605,11.782608695652174
66,2011-03-07,1,2011,march,0,1,working,1,10.731299,11.92305,55.1304,22.870584,244,1628,1872,11.91304347826087
67,2011-03-08,1,2011,march,0,2,working,1,11.9925,15.120000000000001,42.0833,8.083549999999999,316,1817,2133,11.5
68,2011-03-09,1,2011,march,0,3,working,2,12.129153,14.3304,77.5417,14.750050000000002,191,1700,1891,11.5
69,2011-03-10,1,2011,march,0,4,working,3,15.952731,19.2834,0.0,17.545759,46,577,623,12.227272727272727
